,tmaxocean_column
moderncam4b_010p10p30a,1.1723655215882047
moderncam4b_010p20p40a,0.24130371721523192
moderncam4b_010p30p50a,0.0
moderncam4b_025p20p40a,0.31152183814754103
moderncam4b_050p10p30a,1.532322617988722
moderncam4b_050p15p35a,0.8689146114854708
moderncam4b_050p20p40a,0.36453324222362643
moderncam4b_050p25p45a,0.11012400360467665
moderncam4b_050p30p50a,0.014383234762416713
moderncam4b_100p20p40a,0.48909250454435865
moderncam4b_200p10p30a,1.8253291170478927
moderncam4b_200p20p40a,0.4878468467421214
moderncam4b_200p30p50a,0.04263941166214738
