,dry_warm_land_percent_column
moderncam4b_010p10p30a,11.94941849563112
moderncam4b_010p20p40a,3.065688539707102
moderncam4b_010p30p50a,0.09880671960720135
moderncam4b_025p20p40a,3.4501800401488993
moderncam4b_050p10p30a,14.643308377833774
moderncam4b_050p15p35a,9.029590301036574
moderncam4b_050p20p40a,4.012242522863824
moderncam4b_050p25p45a,1.3790823717328395
moderncam4b_050p30p50a,0.23253104251172932
moderncam4b_100p20p40a,5.1949867004189905
moderncam4b_200p10p30a,16.981112589921352
moderncam4b_200p20p40a,5.611842652092047
moderncam4b_200p30p50a,0.5416842269891139
