,Broadband solar,Visible/near-IR,CO2 (ppm),Global average planetary albedo,Global mean surface temperature (C),"Radiative forcing (W m-2) relative to 10ppm, albedo 0.4",Percent of land area with Tmax>-2C in warmest month,Percent of land area with PE>P in annual mean,Percent of land area with PE>P and Tmax>-2C,Percent of ocean area with PE>P and Tmax>-2C
moderncam4b_010p30p50a,0.4,0.3/0.5,10,0.6849360720836004,-69.37442406491144,0.0,0.0988067196072013,59.83857858235765,0.0988067196072013,0.0
moderncam4b_050p30p50a,0.4,0.3/0.5,50,0.682605511517986,-68.07381252442946,2.751672416500241,0.2325310425117293,61.854735239900016,0.2325310425117293,0.0143832347624167
moderncam4b_200p30p50a,0.4,0.3/0.5,200,0.6807191422680342,-66.70182629209111,5.162030766322786,0.541684226989114,64.8742891816951,0.5416842269891139,0.0426394116621473
moderncam4b_050p25p45a,0.35,0.25/0.45,50,0.6761439904976465,-66.79594790633473,3.782825725081267,1.4105352704004617,65.47946839544834,1.3790823717328395,0.1101240036046766
moderncam4b_010p20p40a,0.3,0.2/0.4,10,0.6719926905315426,-66.8811743828567,2.051820992714042,3.097141438374724,66.36741555874879,3.065688539707102,0.2413037172152319
moderncam4b_025p20p40a,0.3,0.2/0.4,25,0.6706844947519955,-66.14331906443797,3.598809308420517,3.4816329388165217,67.03700330189639,3.4501800401489,0.311521838147541
moderncam4b_050p20p40a,0.3,0.2/0.4,50,0.6695231886630665,-65.48384216480642,4.803493409214283,4.043695421531447,67.81028242442045,4.012242522863824,0.3645332422236264
moderncam4b_100p20p40a,0.3,0.2/0.4,100,0.6685353115783533,-64.78974106980186,5.993722449625764,5.265532348003784,69.0571002934321,5.194986700418991,0.4890925045443586
moderncam4b_200p20p40a,0.3,0.2/0.4,200,0.6676834690719491,-64.05831706021283,7.213851759036828,5.721738989796799,69.95500243777852,5.611842652092047,0.4878468467421214
moderncam4b_050p15p35a,0.25,0.15/0.35,50,0.6629291828701224,-64.18511646766311,5.814007173741075,9.14364539052961,70.10759763103864,9.029590301036574,0.8689146114854708
moderncam4b_010p10p30a,0.2,0.1/0.3,10,0.658628653515701,-64.34187897847664,4.063010309494544,12.142217571606452,69.52332452095207,11.94941849563112,1.1723655215882047
moderncam4b_050p10p30a,0.2,0.1/0.3,50,0.6560136611042992,-62.84022237833807,6.8146827259947855,14.986981551015957,70.96526815826472,14.643308377833774,1.532322617988722
moderncam4b_200p10p30a,0.2,0.1/0.3,200,0.6539594386015517,-61.30771818135386,9.22504107581733,17.214945426473214,72.32949219305881,16.981112589921352,1.8253291170478927
