,albedo_column
moderncam4b_010p10p30a,0.6586286535157011
moderncam4b_010p20p40a,0.6719926905315426
moderncam4b_010p30p50a,0.6849360720836004
moderncam4b_025p20p40a,0.6706844947519954
moderncam4b_050p10p30a,0.6560136611042992
moderncam4b_050p15p35a,0.6629291828701224
moderncam4b_050p20p40a,0.6695231886630664
moderncam4b_050p25p45a,0.6761439904976466
moderncam4b_050p30p50a,0.682605511517986
moderncam4b_100p20p40a,0.6685353115783532
moderncam4b_200p10p30a,0.6539594386015518
moderncam4b_200p20p40a,0.6676834690719492
moderncam4b_200p30p50a,0.6807191422680342
