,tmaxland_column
moderncam4b_010p10p30a,7.049737380867412
moderncam4b_010p20p40a,0.8053719992971174
moderncam4b_010p30p50a,0.0
moderncam4b_025p20p40a,1.1052014978690081
moderncam4b_050p10p30a,9.791642061058658
moderncam4b_050p15p35a,4.388317942088977
moderncam4b_050p20p40a,1.6523711045241867
moderncam4b_050p25p45a,0.4040220165487305
moderncam4b_050p30p50a,0.0
moderncam4b_100p20p40a,1.9510576920751657
moderncam4b_200p10p30a,11.97034040417018
moderncam4b_200p20p40a,2.469794304955303
moderncam4b_200p30p50a,0.09880671960720135
