,GMST_column
moderncam4b_010p10p30a,-64.34187897847664
moderncam4b_010p20p40a,-66.8811743828567
moderncam4b_010p30p50a,-69.37442406491144
moderncam4b_025p20p40a,-66.14331906443797
moderncam4b_050p10p30a,-62.84022237833807
moderncam4b_050p15p35a,-64.18511646766311
moderncam4b_050p20p40a,-65.48384216480642
moderncam4b_050p25p45a,-66.79594790633473
moderncam4b_050p30p50a,-68.07381252442946
moderncam4b_100p20p40a,-64.78974106980186
moderncam4b_200p10p30a,-61.30771818135386
moderncam4b_200p20p40a,-64.05831706021283
moderncam4b_200p30p50a,-66.70182629209111
