,tmaxocean_column
moderncam4b_010p10p30a,0.6029428773036203
moderncam4b_010p20p40a,0.028514074853575537
moderncam4b_010p30p50a,0.0
moderncam4b_025p20p40a,0.09591852439755036
moderncam4b_050p10p30a,0.8312213797711054
moderncam4b_050p15p35a,0.3802275062554829
moderncam4b_050p20p40a,0.14831997492080579
moderncam4b_050p25p45a,0.028514074853575537
moderncam4b_050p30p50a,0.0
moderncam4b_100p20p40a,0.16159241223177703
moderncam4b_200p10p30a,1.1333972160109669
moderncam4b_200p20p40a,0.243535647345688
moderncam4b_200p30p50a,0.0
