,dry_warm_land_percent_column
moderncam4b_010p10p30a,6.564170297780919
moderncam4b_010p20p40a,0.8055607196203095
moderncam4b_010p30p50a,0.0
moderncam4b_025p20p40a,1.0389288395744263
moderncam4b_050p10p30a,8.71776427726437
moderncam4b_050p15p35a,4.269601125808826
moderncam4b_050p20p40a,1.5532345649793402
moderncam4b_050p25p45a,0.4041166897750242
moderncam4b_050p30p50a,0.0
moderncam4b_100p20p40a,1.8856403076344193
moderncam4b_200p10p30a,10.708125781514951
moderncam4b_200p20p40a,2.369425549789388
moderncam4b_200p30p50a,0.0988298726794142
